"number","u_om_type","u_begin_time","u_cleared","calendar_duration","u_end_time","priority","u_notification_source","u_resolution_group","u_resolution_source","u_res_code","u_preventable_type","u_affected_nodes","u_public_or_private","u_search_markets","u_affected_area","short_description","u_affected_services","u_of_total_modems_on_node","u_of_modems_on_line","u_vendor"
"NOC0285117","Outage Node","2020-11-28 01:58:42","2020-11-28 04:23:24","8683","2020-11-28 04:23:24","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","IL-NAPE-DPL-PK09, IL-NAPE-DPL-PK22","Public","Illinois","","IL-NAPE-DPL-PK09, IL-NAPE-DPL-PK22","Voice, Business, HSD","52","50",""
"NOC0285115","Outage Other","2020-11-28 00:39:13","2020-11-28 01:10:03","1850","2020-11-28 06:37:56","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Vendor Resolved","Non Preventable","","Public","Pinellas","","Multiple Channel Outage -Estrell WMOR SD (ch 128), ThisTV WMOR SD (ch 126), WMOR HD (ch 929) Pinellas","Channel","","",""
"NOC0285113","Outage Node","2020-11-27 20:49:08","2020-11-27 22:29:32","6024","2020-11-27 22:29:32","3 - Moderate","Call Center","PM","Gainspeed Node","Reset","Non Preventable","OH-CLEV-BER-PU137","Public","Cleveland","","OH-CLEV-BER-PU137","Business, Voice, Video, HSD","15","0",""
"NOC0285020","Outage Node","2020-11-27 09:36:19","2020-11-27 09:48:26","727","2020-11-27 09:48:26","3 - Moderate","Alarms","PM","Node other","Temporary Workaround","Non Preventable","OH-CLEV-BER-AL25","Public","Cleveland","","OH-CLEV-BER-AL25","Business, Voice, Video, HSD","105","86",""
"NOC0285028","Outage Node","2020-11-27 10:28:11","2020-11-27 11:17:12","2942","2020-11-27 11:17:12","3 - Moderate","Alarms","PM","Seizure screw","Replace","Non Preventable","MI-TROY-UTI-RH85","Public","Michigan","","MI-TROY-UTI-RH85","Business, Voice, Video, HSD","102","0",""
"NOC0285039","Outage Other","2020-11-27 11:01:03","2020-11-27 11:23:03","1320","2020-11-27 11:23:03","3 - Moderate","Other","Assurance Video","IPTV encoder","Resolved","Non Preventable","","Public","Montgomery","","Single Channel Outage - PBS WAIQ (Channel 5) - Montgomery for WOW TV+","Video","","",""
"NOC0285060","Outage Node","2020-11-27 13:22:48","2020-11-27 14:20:06","3438","2020-11-27 16:38:25","3 - Moderate","Alarms","PM","Amp","Replace","Non Preventable","IL-NAPE-WCH-SW07","Public","Illinois","","IL-NAPE-WCH-SW07","Business, Voice, Video, HSD","99","66",""
"NOC0285067","Outage Node","2020-11-27 14:07:26","2020-11-27 14:45:07","2262","2020-11-27 14:45:07","3 - Moderate","Alarms","PM","Power Supply","Resolved","Non Preventable","MD-MILL-MILL-M087","Public","Maryland","","MD-MILL-MILL-M087","Business, Voice, Video, HSD","34","0",""
"NOC0285080","Outage Node","2020-11-27 15:26:39","2020-11-27 16:01:37","2098","2020-11-27 23:30:14","3 - Moderate","Alarms","PM","Commercial Power-Node","Power Restored","Non Preventable","OH-COLM-WBR-CQ16","Public","Columbus, Oh","","OH-COLM-WBR-CQ16","Business, Voice, Video, HSD","168","5",""
"NOC0285085","Outage Node","2020-11-27 15:46:48","2020-11-27 16:05:59","1152","2020-11-27 16:05:59","3 - Moderate","Alarms","PM","Cleared Before/At Arrival","Cleared Before/At Arrival","Non Preventable","FL-PINE-HUD-DV048","Public","Pinellas","","FL-PINE-HUD-DV048","Business, Voice, Video, HSD","31","26",""
